"epochNums","epochDates","epochDays"
1,"Tue Apr 27 17:10:00 2004",12536.0069444444
2,"Tue Apr 27 17:15:00 2004",12536.0104166667
3,"Tue Apr 27 17:20:00 2004",12536.0138888889
4,"Tue Apr 27 17:25:00 2004",12536.0173611111
5,"Tue Apr 27 17:30:00 2004",12536.0208333333
6,"Tue Apr 27 17:35:00 2004",12536.0243055556
7,"Tue Apr 27 17:40:00 2004",12536.0277777778
8,"Tue Apr 27 17:45:00 2004",12536.03125
9,"Tue Apr 27 17:50:00 2004",12536.0347222222
10,"Tue Apr 27 17:55:00 2004",12536.0381944444
11,"Tue Apr 27 18:00:00 2004",12536.0416666667
12,"Tue Apr 27 18:05:00 2004",12536.0451388889
13,"Tue Apr 27 18:10:00 2004",12536.0486111111
14,"Tue Apr 27 18:15:00 2004",12536.0520833333
15,"Tue Apr 27 18:20:00 2004",12536.0555555556
16,"Tue Apr 27 18:25:00 2004",12536.0590277778
17,"Tue Apr 27 18:30:00 2004",12536.0625
18,"Tue Apr 27 18:35:00 2004",12536.0659722222
19,"Tue Apr 27 18:40:00 2004",12536.0694444444
20,"Tue Apr 27 18:45:00 2004",12536.0729166667
21,"Tue Apr 27 18:50:00 2004",12536.0763888889
22,"Tue Apr 27 18:55:00 2004",12536.0798611111
23,"Tue Apr 27 19:00:00 2004",12536.0833333333
24,"Tue Apr 27 19:05:00 2004",12536.0868055556
25,"Tue Apr 27 19:10:00 2004",12536.0902777778
26,"Tue Apr 27 19:15:00 2004",12536.09375
27,"Tue Apr 27 19:20:00 2004",12536.0972222222
28,"Tue Apr 27 19:25:00 2004",12536.1006944444
29,"Tue Apr 27 19:30:00 2004",12536.1041666667
30,"Tue Apr 27 19:35:00 2004",12536.1076388889
31,"Tue Apr 27 19:40:00 2004",12536.1111111111
32,"Tue Apr 27 19:45:00 2004",12536.1145833333
33,"Tue Apr 27 19:50:00 2004",12536.1180555556
34,"Tue Apr 27 19:55:00 2004",12536.1215277778
35,"Tue Apr 27 20:00:00 2004",12536.125
36,"Tue Apr 27 20:05:00 2004",12536.1284722222
37,"Tue Apr 27 20:10:00 2004",12536.1319444444
38,"Tue Apr 27 20:15:00 2004",12536.1354166667
39,"Tue Apr 27 20:20:00 2004",12536.1388888889
40,"Tue Apr 27 20:25:00 2004",12536.1423611111
41,"Tue Apr 27 20:30:00 2004",12536.1458333333
42,"Tue Apr 27 20:35:00 2004",12536.1493055556
43,"Tue Apr 27 20:40:00 2004",12536.1527777778
44,"Tue Apr 27 20:45:00 2004",12536.15625
45,"Tue Apr 27 20:50:00 2004",12536.1597222222
46,"Tue Apr 27 20:55:00 2004",12536.1631944444
47,"Tue Apr 27 21:00:00 2004",12536.1666666667
48,"Tue Apr 27 21:05:00 2004",12536.1701388889
49,"Tue Apr 27 21:10:00 2004",12536.1736111111
50,"Tue Apr 27 21:15:00 2004",12536.1770833333
51,"Tue Apr 27 21:20:00 2004",12536.1805555556
52,"Tue Apr 27 21:25:00 2004",12536.1840277778
53,"Tue Apr 27 21:30:00 2004",12536.1875
54,"Tue Apr 27 21:35:00 2004",12536.1909722222
55,"Tue Apr 27 21:40:00 2004",12536.1944444444
56,"Tue Apr 27 21:45:00 2004",12536.1979166667
57,"Tue Apr 27 21:50:00 2004",12536.2013888889
58,"Tue Apr 27 21:55:00 2004",12536.2048611111
59,"Tue Apr 27 22:00:00 2004",12536.2083333333
60,"Tue Apr 27 22:05:00 2004",12536.2118055556
61,"Tue Apr 27 22:10:00 2004",12536.2152777778
62,"Tue Apr 27 22:15:00 2004",12536.21875
63,"Tue Apr 27 22:20:00 2004",12536.2222222222
64,"Tue Apr 27 22:25:00 2004",12536.2256944444
65,"Tue Apr 27 22:30:00 2004",12536.2291666667
66,"Tue Apr 27 22:35:00 2004",12536.2326388889
67,"Tue Apr 27 22:40:00 2004",12536.2361111111
68,"Tue Apr 27 22:45:00 2004",12536.2395833333
69,"Tue Apr 27 22:50:00 2004",12536.2430555556
70,"Tue Apr 27 22:55:00 2004",12536.2465277778
71,"Tue Apr 27 23:00:00 2004",12536.25
72,"Tue Apr 27 23:05:00 2004",12536.2534722222
73,"Tue Apr 27 23:10:00 2004",12536.2569444444
74,"Tue Apr 27 23:15:00 2004",12536.2604166667
75,"Tue Apr 27 23:20:00 2004",12536.2638888889
76,"Tue Apr 27 23:25:00 2004",12536.2673611111
77,"Tue Apr 27 23:30:00 2004",12536.2708333333
78,"Tue Apr 27 23:35:00 2004",12536.2743055556
79,"Tue Apr 27 23:40:00 2004",12536.2777777778
80,"Tue Apr 27 23:45:00 2004",12536.28125
81,"Tue Apr 27 23:50:00 2004",12536.2847222222
82,"Tue Apr 27 23:55:00 2004",12536.2881944444
83,"Wed Apr 28 00:00:00 2004",12536.2916666667
84,"Wed Apr 28 00:05:00 2004",12536.2951388889
85,"Wed Apr 28 00:10:00 2004",12536.2986111111
86,"Wed Apr 28 00:15:00 2004",12536.3020833333
87,"Wed Apr 28 00:20:00 2004",12536.3055555556
88,"Wed Apr 28 00:25:00 2004",12536.3090277778
89,"Wed Apr 28 00:30:00 2004",12536.3125
90,"Wed Apr 28 00:35:00 2004",12536.3159722222
91,"Wed Apr 28 00:40:00 2004",12536.3194444444
92,"Wed Apr 28 00:45:00 2004",12536.3229166667
93,"Wed Apr 28 00:50:00 2004",12536.3263888889
94,"Wed Apr 28 00:55:00 2004",12536.3298611111
95,"Wed Apr 28 01:00:00 2004",12536.3333333333
96,"Wed Apr 28 01:05:00 2004",12536.3368055556
97,"Wed Apr 28 01:10:00 2004",12536.3402777778
98,"Wed Apr 28 01:15:00 2004",12536.34375
99,"Wed Apr 28 01:20:00 2004",12536.3472222222
100,"Wed Apr 28 01:25:00 2004",12536.3506944444
101,"Wed Apr 28 01:30:00 2004",12536.3541666667
102,"Wed Apr 28 01:35:00 2004",12536.3576388889
103,"Wed Apr 28 01:40:00 2004",12536.3611111111
104,"Wed Apr 28 01:45:00 2004",12536.3645833333
105,"Wed Apr 28 01:50:00 2004",12536.3680555556
106,"Wed Apr 28 01:55:00 2004",12536.3715277778
107,"Wed Apr 28 02:00:00 2004",12536.375
108,"Wed Apr 28 02:05:00 2004",12536.3784722222
109,"Wed Apr 28 02:10:00 2004",12536.3819444444
110,"Wed Apr 28 02:15:00 2004",12536.3854166667
111,"Wed Apr 28 02:20:00 2004",12536.3888888889
112,"Wed Apr 28 02:25:00 2004",12536.3923611111
113,"Wed Apr 28 02:30:00 2004",12536.3958333333
114,"Wed Apr 28 02:35:00 2004",12536.3993055556
115,"Wed Apr 28 02:40:00 2004",12536.4027777778
116,"Wed Apr 28 02:45:00 2004",12536.40625
117,"Wed Apr 28 02:50:00 2004",12536.4097222222
118,"Wed Apr 28 02:55:00 2004",12536.4131944444
119,"Wed Apr 28 03:00:00 2004",12536.4166666667
120,"Wed Apr 28 03:05:00 2004",12536.4201388889
121,"Wed Apr 28 03:10:00 2004",12536.4236111111
122,"Wed Apr 28 03:15:00 2004",12536.4270833333
123,"Wed Apr 28 03:20:00 2004",12536.4305555556
124,"Wed Apr 28 03:25:00 2004",12536.4340277778
125,"Wed Apr 28 03:30:00 2004",12536.4375
126,"Wed Apr 28 03:35:00 2004",12536.4409722222
127,"Wed Apr 28 03:40:00 2004",12536.4444444444
128,"Wed Apr 28 03:45:00 2004",12536.4479166667
129,"Wed Apr 28 03:50:00 2004",12536.4513888889
130,"Wed Apr 28 03:55:00 2004",12536.4548611111
131,"Wed Apr 28 04:00:00 2004",12536.4583333333
132,"Wed Apr 28 04:05:00 2004",12536.4618055556
133,"Wed Apr 28 04:10:00 2004",12536.4652777778
134,"Wed Apr 28 04:15:00 2004",12536.46875
135,"Wed Apr 28 04:20:00 2004",12536.4722222222
136,"Wed Apr 28 04:25:00 2004",12536.4756944444
137,"Wed Apr 28 04:30:00 2004",12536.4791666667
138,"Wed Apr 28 04:35:00 2004",12536.4826388889
139,"Wed Apr 28 04:40:00 2004",12536.4861111111
140,"Wed Apr 28 04:45:00 2004",12536.4895833333
141,"Wed Apr 28 04:50:00 2004",12536.4930555556
142,"Wed Apr 28 04:55:00 2004",12536.4965277778
143,"Wed Apr 28 05:00:00 2004",12536.5
144,"Wed Apr 28 05:05:00 2004",12536.5034722222
145,"Wed Apr 28 05:10:00 2004",12536.5069444444
146,"Wed Apr 28 05:15:00 2004",12536.5104166667
147,"Wed Apr 28 05:20:00 2004",12536.5138888889
148,"Wed Apr 28 05:25:00 2004",12536.5173611111
149,"Wed Apr 28 05:30:00 2004",12536.5208333333
150,"Wed Apr 28 05:35:00 2004",12536.5243055556
151,"Wed Apr 28 05:40:00 2004",12536.5277777778
152,"Wed Apr 28 05:45:00 2004",12536.53125
153,"Wed Apr 28 05:50:00 2004",12536.5347222222
154,"Wed Apr 28 05:55:00 2004",12536.5381944444
155,"Wed Apr 28 06:00:00 2004",12536.5416666667
156,"Wed Apr 28 06:05:00 2004",12536.5451388889
157,"Wed Apr 28 06:10:00 2004",12536.5486111111
158,"Wed Apr 28 06:15:00 2004",12536.5520833333
159,"Wed Apr 28 06:20:00 2004",12536.5555555556
160,"Wed Apr 28 06:25:00 2004",12536.5590277778
161,"Wed Apr 28 06:30:00 2004",12536.5625
162,"Wed Apr 28 06:35:00 2004",12536.5659722222
163,"Wed Apr 28 06:40:00 2004",12536.5694444444
164,"Wed Apr 28 06:45:00 2004",12536.5729166667
165,"Wed Apr 28 06:50:00 2004",12536.5763888889
166,"Wed Apr 28 06:55:00 2004",12536.5798611111
167,"Wed Apr 28 07:00:00 2004",12536.5833333333
168,"Wed Apr 28 07:05:00 2004",12536.5868055556
169,"Wed Apr 28 07:10:00 2004",12536.5902777778
170,"Wed Apr 28 07:15:00 2004",12536.59375
171,"Wed Apr 28 07:20:00 2004",12536.5972222222
172,"Wed Apr 28 07:25:00 2004",12536.6006944444
173,"Wed Apr 28 07:30:00 2004",12536.6041666667
174,"Wed Apr 28 07:35:00 2004",12536.6076388889
175,"Wed Apr 28 07:40:00 2004",12536.6111111111
176,"Wed Apr 28 07:45:00 2004",12536.6145833333
177,"Wed Apr 28 07:50:00 2004",12536.6180555556
178,"Wed Apr 28 07:55:00 2004",12536.6215277778
179,"Wed Apr 28 08:00:00 2004",12536.625
180,"Wed Apr 28 08:05:00 2004",12536.6284722222
181,"Wed Apr 28 08:10:00 2004",12536.6319444444
182,"Wed Apr 28 08:15:00 2004",12536.6354166667
183,"Wed Apr 28 08:20:00 2004",12536.6388888889
184,"Wed Apr 28 08:25:00 2004",12536.6423611111
185,"Wed Apr 28 08:30:00 2004",12536.6458333333
186,"Wed Apr 28 08:35:00 2004",12536.6493055556
187,"Wed Apr 28 08:40:00 2004",12536.6527777778
188,"Wed Apr 28 08:45:00 2004",12536.65625
189,"Wed Apr 28 08:50:00 2004",12536.6597222222
190,"Wed Apr 28 08:55:00 2004",12536.6631944444
191,"Wed Apr 28 09:00:00 2004",12536.6666666667
192,"Wed Apr 28 09:05:00 2004",12536.6701388889
193,"Wed Apr 28 09:10:00 2004",12536.6736111111
194,"Wed Apr 28 09:15:00 2004",12536.6770833333
195,"Wed Apr 28 09:20:00 2004",12536.6805555556
196,"Wed Apr 28 09:25:00 2004",12536.6840277778
197,"Wed Apr 28 09:30:00 2004",12536.6875
198,"Wed Apr 28 09:35:00 2004",12536.6909722222
199,"Wed Apr 28 09:40:00 2004",12536.6944444444
200,"Wed Apr 28 09:45:00 2004",12536.6979166667
